Id,Source,Target,Type,Weight,nodes,links
485,TensorFlow,MySQL,Directed,2,"opts.GraphNode(name=""MySQL"",symbol_size=2),","opts.GraphLink(source=""TensorFlow"", target=""MySQL""),"
486,Kafka,Python,Directed,2,"opts.GraphNode(name=""Python"",symbol_size=2),","opts.GraphLink(source=""Kafka"", target=""Python""),"
487,Kafka,SQL,Directed,2,"opts.GraphNode(name=""SQL"",symbol_size=2),","opts.GraphLink(source=""Kafka"", target=""SQL""),"
488,Kafka,R,Directed,2,"opts.GraphNode(name=""R"",symbol_size=2),","opts.GraphLink(source=""Kafka"", target=""R""),"
489,Kafka,Hadoop,Directed,2,"opts.GraphNode(name=""Hadoop"",symbol_size=2),","opts.GraphLink(source=""Kafka"", target=""Hadoop""),"
490,Kafka,Spark,Directed,2,"opts.GraphNode(name=""Spark"",symbol_size=2),","opts.GraphLink(source=""Kafka"", target=""Spark""),"
491,Kafka,Tableau,Directed,2,"opts.GraphNode(name=""Tableau"",symbol_size=2),","opts.GraphLink(source=""Kafka"", target=""Tableau""),"
492,Kafka,Hive,Directed,2,"opts.GraphNode(name=""Hive"",symbol_size=2),","opts.GraphLink(source=""Kafka"", target=""Hive""),"
493,Kafka,NoSQL,Directed,2,"opts.GraphNode(name=""NoSQL"",symbol_size=2),","opts.GraphLink(source=""Kafka"", target=""NoSQL""),"
494,Kafka,Kafka,Directed,2,"opts.GraphNode(name=""Kafka"",symbol_size=2),","opts.GraphLink(source=""Kafka"", target=""Kafka""),"
495,Kafka,Excel,Directed,2,"opts.GraphNode(name=""Excel"",symbol_size=2),","opts.GraphLink(source=""Kafka"", target=""Excel""),"
512,Azure,Python,Directed,10,"opts.GraphNode(name=""Python"",symbol_size=10),","opts.GraphLink(source=""Azure"", target=""Python""),"
513,Azure,SQL,Directed,14,"opts.GraphNode(name=""SQL"",symbol_size=14),","opts.GraphLink(source=""Azure"", target=""SQL""),"
514,Azure,Machine Learning,Directed,2,"opts.GraphNode(name=""Machine Learning"",symbol_size=2),","opts.GraphLink(source=""Azure"", target=""Machine Learning""),"
515,Azure,R,Directed,24,"opts.GraphNode(name=""R"",symbol_size=24),","opts.GraphLink(source=""Azure"", target=""R""),"
516,Azure,Hadoop,Directed,2,"opts.GraphNode(name=""Hadoop"",symbol_size=2),","opts.GraphLink(source=""Azure"", target=""Hadoop""),"
517,Azure,Spark,Directed,4,"opts.GraphNode(name=""Spark"",symbol_size=4),","opts.GraphLink(source=""Azure"", target=""Spark""),"
518,Azure,Java,Directed,8,"opts.GraphNode(name=""Java"",symbol_size=8),","opts.GraphLink(source=""Azure"", target=""Java""),"
519,Azure,Tableau,Directed,8,"opts.GraphNode(name=""Tableau"",symbol_size=8),","opts.GraphLink(source=""Azure"", target=""Tableau""),"
520,Azure,Big Data,Directed,8,"opts.GraphNode(name=""Big Data"",symbol_size=8),","opts.GraphLink(source=""Azure"", target=""Big Data""),"
521,Azure,AWS,Directed,6,"opts.GraphNode(name=""AWS"",symbol_size=6),","opts.GraphLink(source=""Azure"", target=""AWS""),"
522,Azure,Scala,Directed,4,"opts.GraphNode(name=""Scala"",symbol_size=4),","opts.GraphLink(source=""Azure"", target=""Scala""),"
523,Azure,NoSQL,Directed,2,"opts.GraphNode(name=""NoSQL"",symbol_size=2),","opts.GraphLink(source=""Azure"", target=""NoSQL""),"
524,Azure,Oracle,Directed,6,"opts.GraphNode(name=""Oracle"",symbol_size=6),","opts.GraphLink(source=""Azure"", target=""Oracle""),"
525,Azure,Azure,Directed,24,"opts.GraphNode(name=""Azure"",symbol_size=24),","opts.GraphLink(source=""Azure"", target=""Azure""),"
526,Azure,Excel,Directed,12,"opts.GraphNode(name=""Excel"",symbol_size=12),","opts.GraphLink(source=""Azure"", target=""Excel""),"
527,Azure,JavaScript,Directed,2,"opts.GraphNode(name=""JavaScript"",symbol_size=2),","opts.GraphLink(source=""Azure"", target=""JavaScript""),"
528,Azure,HBase,Directed,2,"opts.GraphNode(name=""HBase"",symbol_size=2),","opts.GraphLink(source=""Azure"", target=""HBase""),"
529,Azure,MySQL,Directed,2,"opts.GraphNode(name=""MySQL"",symbol_size=2),","opts.GraphLink(source=""Azure"", target=""MySQL""),"
530,Azure,Perl,Directed,2,"opts.GraphNode(name=""Perl"",symbol_size=2),","opts.GraphLink(source=""Azure"", target=""Perl""),"
531,MATLAB,Python,Directed,8,"opts.GraphNode(name=""Python"",symbol_size=8),","opts.GraphLink(source=""MATLAB"", target=""Python""),"
532,MATLAB,SQL,Directed,10,"opts.GraphNode(name=""SQL"",symbol_size=10),","opts.GraphLink(source=""MATLAB"", target=""SQL""),"
533,MATLAB,Machine Learning,Directed,6,"opts.GraphNode(name=""Machine Learning"",symbol_size=6),","opts.GraphLink(source=""MATLAB"", target=""Machine Learning""),"
534,MATLAB,R,Directed,14,"opts.GraphNode(name=""R"",symbol_size=14),","opts.GraphLink(source=""MATLAB"", target=""R""),"
535,MATLAB,Spark,Directed,4,"opts.GraphNode(name=""Spark"",symbol_size=4),","opts.GraphLink(source=""MATLAB"", target=""Spark""),"
536,MATLAB,Tableau,Directed,2,"opts.GraphNode(name=""Tableau"",symbol_size=2),","opts.GraphLink(source=""MATLAB"", target=""Tableau""),"
537,MATLAB,SAS,Directed,12,"opts.GraphNode(name=""SAS"",symbol_size=12),","opts.GraphLink(source=""MATLAB"", target=""SAS""),"
538,MATLAB,Big Data,Directed,2,"opts.GraphNode(name=""Big Data"",symbol_size=2),","opts.GraphLink(source=""MATLAB"", target=""Big Data""),"
539,MATLAB,Scala,Directed,4,"opts.GraphNode(name=""Scala"",symbol_size=4),","opts.GraphLink(source=""MATLAB"", target=""Scala""),"
540,MATLAB,NoSQL,Directed,2,"opts.GraphNode(name=""NoSQL"",symbol_size=2),","opts.GraphLink(source=""MATLAB"", target=""NoSQL""),"
